train_loss,valid_loss
0.416702,0.775482
0.384275,0.754430
0.386194,0.739619
0.488336,0.980496
0.503900,0.980291
0.503948,0.979018
0.503967,0.980414
0.503987,0.983165
0.503960,0.979017
0.504010,0.979130
0.503899,0.982162
0.503881,0.979584
0.503808,0.983459
0.503766,0.979689
0.503758,0.979077
0.503649,0.979130
0.503609,0.979329
0.503560,0.979465
0.503554,0.979442
0.503543,0.979420
